Date,EURUSD,US3M,EUR3M,EUR3M fwd,EURIBOR
10/30/2000,0.8411,6.75875,5.138,33.5,5.138
10/31/2000,0.8489,6.76,5.14,33.5,5.14
11/1/2000,0.8612,6.75875,5.137,35.08,5.137
11/2/2000,0.8584,6.75125,5.125,34.25,5.125
11/3/2000,0.8666,6.75063,5.125,34.7,5.125
11/6/2000,0.8625,6.75375,5.122,34.7,5.122
11/7/2000,0.86,6.75813,5.119,35.5,5.119
11/8/2000,0.8555,6.75938,5.122,34.5,5.122
11/9/2000,0.8666,6.76,5.123,34.35,5.123
11/10/2000,0.8596,6.76,5.112,34.85,5.112
11/13/2000,0.8571,6.75938,5.106,34.9,5.106
11/14/2000,0.8576,6.75813,5.094,35.3,5.094
11/15/2000,0.8575,6.7575,5.085,34.5,5.085
11/16/2000,0.8532,6.75875,5.078,35.7,5.078
11/17/2000,0.8478,6.75063,5.062,35.45,5.062
11/20/2000,0.8514,6.75313,5.061,35.3,5.061
11/21/2000,0.844,6.75063,5.07,35.3,5.07
11/22/2000,0.8457,6.75063,5.072,34.7,5.072
11/23/2000,0.8393,6.75,5.07,34.6,5.07
11/24/2000,0.838,6.74875,5.071,34.4,5.071
11/27/2000,0.8529,6.74875,5.075,34.35,5.075
11/28/2000,0.8559,6.74875,5.074,35,5.074
11/29/2000,0.8578,6.73625,5.069,34.85,5.069
11/30/2000,0.8729,6.715,5.051,34.8,5.051
12/1/2000,0.8799,6.68625,5.021,35.5,5.021
12/4/2000,0.8857,6.68375,5.012,36.5,5.012
12/5/2000,0.8799,6.6775,5.006,35.45,5.006
12/6/2000,0.892,6.6175,4.972,36.1,4.972
12/7/2000,0.8885,6.5775,4.956,35,4.956
12/8/2000,0.8888,6.57,4.956,34.6,4.956
12/11/2000,0.8783,6.58,4.967,34.3,4.967
12/12/2000,0.8794,6.58,4.967,34.4,4.967
12/13/2000,0.877,6.58,4.966,34.48,4.966
12/14/2000,0.8923,6.5475,4.953,35.3,4.953
12/15/2000,0.8966,6.54938,4.949,34.8,4.949
12/18/2000,0.896,6.53625,4.933,35,4.933
12/19/2000,0.8953,6.52,4.916,34.8,4.916
12/20/2000,0.9093,6.5,4.905,35.38,4.905
12/21/2000,0.9166,6.46375,4.892,35.2,4.892
12/22/2000,0.9232,6.45,4.879,34.85,4.879
12/25/2000,0.9257,6.45,4.879,35,4.879
12/26/2000,0.9303,6.45,4.879,35.5,4.879
12/27/2000,0.9312,6.43813,4.88,34.3,4.88
12/28/2000,0.9296,6.40125,4.859,34.25,4.859
12/29/2000,0.9427,6.39875,4.855,34.5,4.855
1/1/2001,0.9423,6.39875,4.855,34.9,4.855
1/2/2001,0.9517,6.37125,4.844,33.9,4.844
1/3/2001,0.928,6.28625,4.806,26.25,4.806
1/4/2001,0.9495,5.86625,4.741,24,4.741
1/5/2001,0.957,5.695,4.701,21.35,4.701
1/8/2001,0.9467,5.61625,4.687,20.5,4.687
1/9/2001,0.9434,5.62375,4.711,20.5,4.711
1/10/2001,0.937,5.65,4.775,20.4,4.775
1/11/2001,0.9519,5.67625,4.797,20.5,4.797
1/12/2001,0.9513,5.67875,4.8,21,4.8
1/15/2001,0.942,5.74125,4.815,21.5,4.815
1/16/2001,0.9427,5.73875,4.801,21.55,4.801
1/17/2001,0.9358,5.73875,4.795,20.5,4.795
1/18/2001,0.943,5.64875,4.778,18.75,4.778
1/19/2001,0.9342,5.61125,4.763,18.1,4.763
1/22/2001,0.9387,5.58125,4.757,18.3,4.757
1/23/2001,0.9358,5.5725,4.756,19.25,4.756
1/24/2001,0.9236,5.61,4.767,18.35,4.767
1/25/2001,0.9244,5.5975,4.768,17.9,4.768
1/26/2001,0.9244,5.5675,4.784,16.5,4.784
1/29/2001,0.9172,5.5425,4.785,16,4.785
1/30/2001,0.9268,5.525,4.781,15.4,4.781
1/31/2001,0.9366,5.42125,4.744,15.7,4.744
2/1/2001,0.9388,5.39,4.714,15.2,4.714
2/2/2001,0.9364,5.3975,4.724,15,4.724
2/5/2001,0.9375,5.41,4.728,15.5,4.728
2/6/2001,0.931,5.41,4.725,15.25,4.725
2/7/2001,0.9285,5.41,4.727,14.8,4.727
2/8/2001,0.9175,5.40875,4.731,14.18,4.731
2/9/2001,0.9242,5.41,4.734,14.3,4.734
2/12/2001,0.9322,5.3875,4.734,14.15,4.734
2/13/2001,0.9208,5.38875,4.733,14.4,4.733
2/14/2001,0.918,5.4,4.743,14.9,4.743
2/15/2001,0.9053,5.4125,4.747,14.1,4.747
2/16/2001,0.915,5.41,4.752,15,4.752
2/19/2001,0.9214,5.38313,4.759,12.9,4.759
2/20/2001,0.9114,5.38,4.779,12.15,4.779
2/21/2001,0.9101,5.37,4.789,11.5,4.789
2/22/2001,0.9038,5.345,4.798,9.5,4.798
2/23/2001,0.9176,5.3,4.807,8.3,4.807
2/26/2001,0.911,5.19375,4.811,7.05,4.811
2/27/2001,0.9176,5.10375,4.81,6.4,4.81
2/28/2001,0.9236,5.0525,4.771,7.55,4.771
3/1/2001,0.9304,5.08875,4.756,8,4.756
3/2/2001,0.9358,5.0825,4.761,7.85,4.761
3/5/2001,0.9286,5.08,4.761,7.9,4.761
3/6/2001,0.9337,5.09,4.771,7.45,4.771
3/7/2001,0.9295,5.07375,4.776,6.65,4.776
3/8/2001,0.933,5.06,4.778,5.9,4.778
3/9/2001,0.9328,5.04,4.782,6.75,4.782
3/12/2001,0.9291,5.0575,4.784,5.55,4.784
3/13/2001,0.9152,5.03375,4.783,5.7,4.783
3/14/2001,0.9114,5.02,4.784,3.65,4.784
3/15/2001,0.8974,4.9425,4.767,3.65,4.767
3/16/2001,0.8978,4.9,4.769,1.95,4.769
3/19/2001,0.8999,4.88,4.769,2,4.769
3/20/2001,0.9094,4.88625,4.766,3.05,4.766
3/21/2001,0.8965,4.87,4.753,3.2,4.753
3/22/2001,0.8892,4.85625,4.649,5.1,4.649
3/23/2001,0.8899,4.86,4.574,7,4.574
3/26/2001,0.8965,4.86875,4.566,6.75,4.566
3/27/2001,0.8938,4.86,4.56,7.7,4.56
3/28/2001,0.8866,4.9025,4.566,7.45,4.566
3/29/2001,0.8821,4.87625,4.554,6.9,4.554
3/30/2001,0.8767,4.87875,4.561,4.95,4.561
4/2/2001,0.8792,4.84,4.571,5.15,4.571
4/3/2001,0.8976,4.84625,4.586,5.1,4.586
4/4/2001,0.9011,4.81,4.572,4.4,4.572
4/5/2001,0.8968,4.80375,4.573,5,4.573
4/6/2001,0.9042,4.80625,4.574,5,4.574
4/9/2001,0.8967,4.74125,4.559,3.45,4.559
4/10/2001,0.8888,4.74,4.554,3,4.554
4/11/2001,0.8879,4.76,4.583,2.25,4.583
4/12/2001,0.8926,4.77875,4.742,0.45,4.742
4/13/2001,0.8882,4.77875,4.742,1,4.742
4/16/2001,0.8891,4.77875,4.742,0.75,4.742
4/17/2001,0.8835,4.80875,4.765,0.45,4.765
4/18/2001,0.8835,4.8275,4.779,-5,4.779
4/19/2001,0.8975,4.41,4.677,-8.65,4.677
4/20/2001,0.9022,4.4175,4.765,-9.1,4.765
4/23/2001,0.8962,4.38375,4.754,-9.95,4.754
4/24/2001,0.8942,4.36,4.773,-10.8,4.773
4/25/2001,0.8975,4.34,4.78,-10.4,4.78
4/26/2001,0.9034,4.34,4.779,-11.7,4.779
4/27/2001,0.8918,4.31375,4.77,-11.6,4.77
4/30/2001,0.8891,4.33625,4.802,-11.9,4.802
5/1/2001,0.8927,4.34,4.802,-13,4.802
5/2/2001,0.8939,4.3075,4.817,-12.8,4.817
5/3/2001,0.8899,4.29875,4.82,-13.15,4.82
5/4/2001,0.8925,4.27,4.814,-16.3,4.814
5/7/2001,0.8903,4.27,4.804,-16.15,4.804
5/8/2001,0.885,4.09875,4.801,-17,4.801
5/9/2001,0.8863,4.085,4.793,-15.85,4.793
5/10/2001,0.8814,4.06,4.766,-10.85,4.766
5/11/2001,0.8753,4.07,4.563,-10.15,4.563
5/14/2001,0.8741,4.12125,4.572,-11.25,4.572
5/15/2001,0.8785,4.10313,4.572,-12.55,4.572
5/16/2001,0.883,4.03,4.567,-11.85,4.567
5/17/2001,0.8828,4.04,4.564,-10.9,4.564
5/18/2001,0.8814,4.055,4.557,-11.6,4.557
5/21/2001,0.8768,4.07625,4.557,-11.25,4.557
5/22/2001,0.8654,4.075,4.555,-11.5,4.555
5/23/2001,0.8568,4.07,4.563,-12.15,4.563
5/24/2001,0.8566,4.05625,4.559,-11.6,4.559
5/25/2001,0.8611,4.03,4.564,-13.05,4.564
5/28/2001,0.8603,4.03,4.564,-12.8,4.564
5/29/2001,0.8555,4,4.56,-12.2,4.56
5/30/2001,0.8568,4,4.544,-11.95,4.544
5/31/2001,0.8453,3.99,4.531,-12.5,4.531
